,Навание блюда,Состав,Ингредиенты,Картинка
76,"Смузи ""Страсть вампира""","Что же такое смузи, рецепты которого стали так популярны в последние годы? Напиток смузи - это коктейль из фруктов и ягод, смешанных в блендере до однородности. Например, коктейль из черники и бананов. Исключительно вкусный чернично-банановый смузи, который готовится за считанные минуты, замечательно подать к завтраку или на десерт.банан, черника, киви, кефир","банан, черника, киви, кефир",https://img1.russianfood.com/dycontent/images_upl/9/sm_8053.jpg
77,Огуречно-лимонный напиток с имбирём и мятой,"Освежающий и полезный напиток, в котором прекрасно сочетаются кислинка лимона, острота имбиря, свежесть огурца, сладость мёда и приятный аромат мяты. Такой огуречно-лимонный напиток с имбирём и мятой прекрасно утоляет жажду в жаркие дни. Компоненты все те же, что для приготовления популярной воды сасси, но в составе также есть мёд.вода, огурцы, лимон, мята, корень имбиря, мёд","вода, огурцы, лимон, мята, корень имбиря, мёд",https://img1.russianfood.com/dycontent/images_upl/520/sm_519951.jpg
78,Ягодный смузи с йогуртом и гранатовым соком,"Любителям ягодных коктейлей представляю полезный, освежающий смузи из замороженных ягод с йогуртом и гранатовым соком.сок грейпфрутовый, йогурт ванильный, ягодная смесь","сок грейпфрутовый, йогурт ванильный, ягодная смесь",https://img1.russianfood.com/dycontent/images_upl/11/sm_10694.jpg
79,Абрикосы в собственном соку на зиму (без сахара),"Весь сахар в этих абрикосах - фруктоза, изначально заложенная в них природой. Рецепт не добавляет ни крупинки извне. Заготовленные на зиму, такие абрикосы сохраняют свой натуральный вкус и аромат. И дело не только в том, что так полезнее, - так нужно для некоторых рецептов с консервированными абрикосами.абрикос, вода","абрикос, вода",https://img1.russianfood.com/dycontent/images_upl/523/sm_522545.jpg
80,Домашний кефир,"В магазинах Вы никогда не встретите однодневного кефира, зато его с легкостью можно приготовить самостоятельно. Рецепт натурального домашнего кефира очень простой!молоко, кефир, закваска","молоко, кефир, закваска",https://img1.russianfood.com/dycontent/images_upl/97/sm_96214.jpg
81,Кофейный бисквитный рулет со сметанно-карамельным кремом и черносливом,"Эффектным и невероятно вкусным получается кофейный бисквитный рулет с кремом из сметаны, варёной сгущёнки и чернослива. Варёную сгущёнку можно заменять другими видами карамели, и сочетание неизменно будет оставаться удачным. Приготовить рулет совсем несложно, главное – четко следовать рецепту.яйца, сахар, мука, разрыхлитель, кофе растворимый, вода, соль, молоко сгущенное, сметана, чернослив, какао-порошок, пудра сахарная","яйца, сахар, мука, разрыхлитель, кофе растворимый, вода, соль, молоко сгущенное, сметана, чернослив, какао-порошок, пудра сахарная",https://img1.russianfood.com/dycontent/images_upl/597/sm_596329.jpg
82,Коктейль для иммунитета,"Напиток с имбирем, лимоном и гранатом. Для иммунитета и настроения:) Витаминная бомба!лимон, корень имбиря, гранат, сахар, мята свежая, корица, гвоздика","лимон, корень имбиря, гранат, сахар, мята свежая, корица, гвоздика",https://img1.russianfood.com/dycontent/images_upl/114/sm_113780.jpg
83,Ряженка домашняя,"Предлагаем рецепт приготовления ряженки в домашних условиях. Домашняя ряженка готовится очень быстро, а главное - из доступных продуктов. Один раз сделаете, попробуете - и этот рецепт домашней ряженки обязательно станет одним из ваших любимых.молоко, сметана, сахар, варенье, ягоды","молоко, сметана, сахар, варенье, ягоды",https://img1.russianfood.com/dycontent/images_upl/163/sm_162817.jpg
84,Абрикосовый компот с вишней и лимоном (на зиму),"Домашний компот - это всегда лучше, чем напитки из магазина. Абрикосовый компот с вишней и лимоном - один из лучших рецептов сладкой заготовки на зиму. Компот насыщен абрикосовым ароматом, а благодаря вишне приобретает красивый цвет и приятную кислинку.абрикос, вишня, сахар, лимон, вода","абрикос, вишня, сахар, лимон, вода",https://img1.russianfood.com/dycontent/images_upl/527/sm_526536.jpg
85,Кетчуп со сливами (на зиму),"Оригинальный вариант соуса на зиму - кетчуп со сливами. Сложно не согласиться с тем, что домашний кетчуп намного вкуснее магазинного, а добавление слив делает его ещё интереснее. Такой ароматный кетчуп со сливами, заготовленный впрок, отлично выручит зимой и станет отличным дополнением как к жареной картошке, мясу, рыбе, так и к просто к ломтику хлеба. Такой рецепт домашнего кетчупа однозначно стоит взять на заметку!помидоры, слива, лук репчатый, зелень петрушки, уксус яблочный, перец чили, чеснок, сахар, соль, перец чёрный молотый","помидоры, слива, лук репчатый, зелень петрушки, уксус яблочный, перец чили, чеснок, сахар, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/533/sm_532970.jpg
86,Консервированные кабачки с вишней (на зиму),"Кабачки нейтральны по вкусу и очень хорошо сочетаются с различными ягодами и фруктами, впитывая их вкусовые оттенки. Предлагаю приготовить вкусную и ароматную заготовку - консервированные кабачки с вишней. Кабачки приобретают вишневый вкус и аромат, становятся кисло-сладкими - это отличная заготовка, которая подарит зимой аромат лета!кабачки, вишня, сахар, вода","кабачки, вишня, сахар, вода",https://img1.russianfood.com/dycontent/images_upl/526/sm_525902.jpg
87,Малиновый ликёр,"Сегодня я хочу вам предложить приготовить малиновый ликёр. Этот напиток получается очень ароматным и вкусным благодаря свежей малине. Для придания ликеру легкой освежающей нотки, добавим немного мяты. Если вы любите и готовите ликёры, тогда наверняка знаете, что для их приготовления нужно достаточно много времени. Но данный рецепт именно тем и отличается, что буквально три дня - и вы можете смело подавать ликер к столу.малина, водка, сахар, лимонная кислота, листья вишневые, листья черной смородины, листья, мята, вода","малина, водка, сахар, лимонная кислота, листья вишневые, листья черной смородины, листья, мята, вода",https://img1.russianfood.com/dycontent/images_upl/526/sm_525812.jpg
88,Вино из черноплодной рябины,"Вино удалось - гармоничный вкус, слегка терпкое, очень умеренно вяжет в отличие от сырой ягоды, с лёгкой кислинкой, прекрасно пьётся, напоминает какое-то очень хорошее виноградное сухое вино...рябина черноплодная, сахар","рябина черноплодная, сахар",https://img1.russianfood.com/dycontent/images_upl/24/sm_23360.jpg
89,Арахисовое молоко,"Растительное молоко - отличная альтернатива для вегетарианцев или для тех, кто просто не любит молоко животного происхождения. Приготовить его очень легко - активного участия понадобится минимум, да и в основе всего два простых и доступных ингредиента.арахис, вода","арахис, вода",https://img1.russianfood.com/dycontent/images_upl/520/sm_519063.jpg
90,Горячий шоколад,"Ароматный, очень приятный горячий напиток из шоколада и молока, с пряностями и коньяком. Чудесное зимнее угощение.шоколад горький, молоко, корица, ваниль(стручок), коньяк, сахар","шоколад горький, молоко, корица, ваниль(стручок), коньяк, сахар",https://img1.russianfood.com/dycontent/images_upl/85/sm_84810.jpg
91,Растительное молоко из кунжута,"Растительное молоко - отличная альтернатива молоку животного происхождения. Прекрасный рецепт вегетарианского молока в домашних условиях - из кунжута. По консистенции и цвету такое кунжутное молоко очень похоже на коровье, с едва заметной приятной тёрпкостью кунжута и нежным медовым ароматом.кунжут, вода, мёд","кунжут, вода, мёд",https://img1.russianfood.com/dycontent/images_upl/516/sm_515484.jpg
92,Пряный яблочный напиток,"Этот напиток готовится на основе яблочного сидра, с добавлением сахара и пряностей. Горячий яблочный сидр согреет в холодную погоду.сидр, гвоздика, перец душистый горошком, корица, сахар коричневый","сидр, гвоздика, перец душистый горошком, корица, сахар коричневый",https://img1.russianfood.com/dycontent/images_upl/98/sm_97660.jpg
93,Растительное молоко из семечек подсолнечника,"Оригинальное растительное молоко готовится из семечек подсолнечника достаточно быстро и невероятно просто. Применять такое молоко можно как напиток, а также как ингредиент для приготовления различных блюд.семена подсолнечника, вода","семена подсолнечника, вода",https://img1.russianfood.com/dycontent/images_upl/520/sm_519292.jpg
94,Апельсиновый кисель с белковым кремом,"Яркий, сладкий апельсиновый кисель с освежающим цитрусовым ароматом может стать шикарным десертом. Сверху апельсиновый кисель украшается воздушным белковым кремом с шоколадной крошкой. Получается оригинально и вкусно. Такой кисель своим вкусом и внешним видом порадует и гурманов, и эстетов!апельсин, сахар, крахмал картофельный, белок, сахар, лимонная кислота, шоколад","апельсин, сахар, крахмал картофельный, белок, сахар, лимонная кислота, шоколад",https://img1.russianfood.com/dycontent/images_upl/578/sm_577195.jpg
95,Консервированные персики без сахара,"Нежные ароматные персики можно заготовить на зиму, не используя сахар! Половинки персиков укладываются в банки и заливаются кипящей водой. Затем наполненные баночки подвергаются стерилизации. Такой рецепт консервированных персиков будет актуален для тех, кто старается не употреблять сахар в пищу.персик, вода","персик, вода",https://img1.russianfood.com/dycontent/images_upl/530/sm_529016.jpg
96,Смородиновый ликер,"Готовим сегодня вкуснейший смородиновый ликер. Такой ликер однозначно понравится тем, что готов он будет уже спустя 2-3 дня. В основном такие напитки необходимо выдерживать неделями, но этот вариант довольно быстрого приготовления. Ликер получается очень вкусным, невероятно ароматным и легко пьется. Пока сезон свежих ягод в разгаре, обязательно попробуйте приготовить такой ликер, думаю, вам понравится.смородина, водка, сахар, лимонная кислота, листья вишневые, листья черной смородины, листья, вода","смородина, водка, сахар, лимонная кислота, листья вишневые, листья черной смородины, листья, вода",https://img1.russianfood.com/dycontent/images_upl/524/sm_523216.jpg
97,Компот из винограда с апельсином (на зиму),"Сочетание винограда и ломтиков апельсина гарантирует зимнее наслаждение. Виноград задаёт компоту основной вкус - сладкий, с лёгкой кислинкой, а апельсин оттеняет его свежей цитрусовой ноткой. К тому же нежные виноградинки и кусочки апельсина станут прекрасным дополнением к напитку. Компот легко готовится и обладает приятным послевкусием.виноград, сахар, апельсин, вода","виноград, сахар, апельсин, вода",https://img1.russianfood.com/dycontent/images_upl/540/sm_539422.jpg
98,"Настойка на водке ""Домашний коньяк""","Настойка ""Домашний коньяк"" обладает приятным вкусом, в ней отчетливо определяются ореховые ноты, со слегка терпким послевкусием имбиря. Готовится настойка на водке очень легко и быстро, из доступных продуктов.водка, миндаль, чернослив без косточек, кора дубовая, корень имбиря, сахар","водка, миндаль, чернослив без косточек, кора дубовая, корень имбиря, сахар",https://img1.russianfood.com/dycontent/images_upl/263/sm_262784.jpg
99,"Коктейль из кефира, зефира и банана","Великолепный рецепт утреннего коктейля! Благодаря банану и зефиру он получается сладеньким, но в то же время, очень полезным!кефир, йогурт, банан, зефир","кефир, йогурт, банан, зефир",https://img1.russianfood.com/dycontent/images_upl/26/sm_25358.jpg
100,Консервированные персики в собственном соку (без сахара),"Оригинальная заготовка из персиков - консервированные персики в собственном соку без добавления сахара. Ничего лишнего, только персики, да и варить ничего не понадобится - ломтики персиков в своём же соке получаются очень нежными, не разваливаются и напоминают магазинные, только ещё вкуснее. Отличный способ запастись натуральным вкусом и ароматом персиков на зиму!персик",персик,https://img1.russianfood.com/dycontent/images_upl/531/sm_530358.jpg
101,Горячий молочный коктейль с тыквой и пряностями,"Горячий молочный напиток с тыквой и пряностями - находка для  холодного времени года. Основа из молока придаёт напитку нежный сливочный вкус, тыква - аппетитный солнечный оттенок, а пряности - невероятный аромат. Добавьте разнообразия в свои чайно-кофейные будни!тыква, молоко, сахар, бадьян, корица молотая, ванилин, гвоздика","тыква, молоко, сахар, бадьян, корица молотая, ванилин, гвоздика",https://img1.russianfood.com/dycontent/images_upl/557/sm_556234.jpg
102,Компот из кабачков (на зиму),"Оригинальная и не самая распространённая заготовка из кабачков - ароматный компот. Для такого компота на зиму понадобятся только кабачки, сахар и пряности. Компот из кабачков имеет приятный сладковатый вкус с небольшой кислинкой, оттенённый тёплым ароматом гвоздики.кабачки, сахар, уксус, гвоздика, вода","кабачки, сахар, уксус, гвоздика, вода",https://img1.russianfood.com/dycontent/images_upl/527/sm_526387.jpg
103,Молочный кисель с изюмом,"Кисель обычно готовят из фруктов, ягод или сока, а мы приготовим вкусный напиток из молока, да ещё и с изюмом! Добавление мёда обеспечивает напитку не только сладость, но и приятное медовое послевкусие.молоко, вода, мёд, сахар, крахмал, изюм","молоко, вода, мёд, сахар, крахмал, изюм",https://img1.russianfood.com/dycontent/images_upl/581/sm_580336.jpg
104,Смузи вишнево-банановый,"Смузи - нарядный десерт с нежным вкусом.вишня консервированная, сок вишневый, сахар, банан, чай","вишня консервированная, сок вишневый, сахар, банан, чай",https://img1.russianfood.com/dycontent/images_upl/37/sm_36626.jpg
105,Компот из персиков с дыней и мятой (на зиму),"Насыщенный ароматный компот из необычного сочетания продуктов напомнит в разгар холодов о летнем изобилии. Дыня, персик, веточка мяты — только представьте себе вкус такого сочетания. А лучше приготовьте, ведь компот варится очень просто.персик, дыня, сахар, лимонная кислота, мята свежая, вода","персик, дыня, сахар, лимонная кислота, мята свежая, вода",https://img1.russianfood.com/dycontent/images_upl/530/sm_529387.jpg
106,Коктейль Французский Тодди (French Toddy),"Это вариант старого французского напитка, который, как говорят, очень нравился писателю Гюставу Флоберу. В этот коктейль добавляется кофе с сахаром. Рецепт рассчитан на двоих.кальвадос, бренди, сахар, кофе, сливки","кальвадос, бренди, сахар, кофе, сливки",https://img1.russianfood.com/dycontent/images_upl/2/sm_1933.jpg
107,"""Фанта"" на зиму","""Фанта"" на зиму готовится из абрикосов и апельсинов, получается очень вкусной. А времени для приготовления компота из абрикосов понадобится совсем немного.абрикос, апельсин, сахар","абрикос, апельсин, сахар",https://img1.russianfood.com/dycontent/images_upl/201/sm_200640.jpg
108,Холодный венский кофе с шоколадом (из растворимого кофе)НОВЫЙ,"Из растворимого кофе и жирных сливок можно приготовить вот такой освежающий летний десерт.кофе растворимый, вода, сливки, шоколад черный, сахар, пудра сахарная","кофе растворимый, вода, сливки, шоколад черный, сахар, пудра сахарная",https://img1.russianfood.com/dycontent/images_upl/601/sm_600257.jpg
109,"Холодный кофе по-венски, с цедрой и корицейНОВЫЙ","Для приготовления пряного холодного кофе не обязательно использовать дорогостоящие добавки типа ликёров. Достаточно подать кофе со сливками и присыпать их корицей и апельсиновой цедрой.кофе молотый, вода, сливки, молоко, пудра сахарная, апельсин, корица молотая","кофе молотый, вода, сливки, молоко, пудра сахарная, апельсин, корица молотая",https://img1.russianfood.com/dycontent/images_upl/601/sm_600333.jpg
110,Земляничный чай для сердца,"Прихватило сердце у Кузьмича, да так сильно, что мочи не было, пошел к знахарке, та и сказала ему рецепт действенного чая... 
Земляничный чай необходим для поддержания здоровья Вашего сердца.земляника, вода, мёд","земляника, вода, мёд",https://img1.russianfood.com/dycontent/images_upl/4/sm_3447.jpg
111,Кофе глясе с мороженым и земляничным сиропом,"Ароматный напиток для ценителей кофе - глясе с ванильным мороженым и свежим сиропом из земляники.земляника, кофе черный, мороженое ванильное, пудра сахарная, песок сахарный, вода","земляника, кофе черный, мороженое ванильное, пудра сахарная, песок сахарный, вода",https://img1.russianfood.com/dycontent/images_upl/145/sm_144609.jpg
112,Молочный коктейль с земляникой,"Ароматный молочный коктейль с лесной земляникой - холодное летнее лакомство.молоко, мороженое, земляника","молоко, мороженое, земляника",https://img1.russianfood.com/dycontent/images_upl/151/sm_150799.jpg
113,Вино из тутовой ягоды (шелковицы),"Вино из шелковицы или тутовое вино – рецепт для приготовления в домашних условиях.шелковица, вода, корица, сахар, вино белое","шелковица, вода, корица, сахар, вино белое",https://img1.russianfood.com/dycontent/images_upl/74/sm_73769.jpg
114,Смузи из клубники и белой шелковицы,"Освежающий летний десерт - смузи из клубники с мороженым и шелковицей.клубника, шелковица, сахар, мороженое, вода","клубника, шелковица, сахар, мороженое, вода",https://img1.russianfood.com/dycontent/images_upl/140/sm_139861.jpg
115,"Смузи ""Завтрак Дракулы"" :)","Смузи из свеклы и вишни заряжает организм энергией и повышает гемоглобин. А еще это очень вкусно!свекла, вишня, сок вишневый, лед, мороженое","свекла, вишня, сок вишневый, лед, мороженое",https://img1.russianfood.com/dycontent/images_upl/38/sm_37016.jpg
116,Компот из яблок и айвы (на зиму),"Ароматный и безумно вкусный компот из айвы и яблок станет вашим любимым напитком в зимние дни. В тёплом компоте полностью раскрывается аромат айвы. Выбирайте для компота спелую айву, а яблоки - любого сорта и цвета: зелёные, жёлтые или красные.айва, яблоко, сахар, вода","айва, яблоко, сахар, вода",https://img1.russianfood.com/dycontent/images_upl/543/sm_542446.jpg
117,Ласси с бананом и мускатным орехом,"Ласси - питательный и полезный напиток из индийской кухни. Очень хорошо утоляет жажду в летний день.банан, йогурт натуральный, вода, орех мускатный, сахар, мёд, лед","банан, йогурт натуральный, вода, орех мускатный, сахар, мёд, лед",https://img1.russianfood.com/dycontent/images_upl/42/sm_41277.jpg
118,"Ликер домашний ""Бейлиз""","Вот и осень. Дождь зачастил. Есть повод с друзьями выпить по рюмочке вкусного домашнего изысканного ликера. Домашний ликер ""Бейлиз"" именно такой:)виски, водка, имбирь молотый, корица, мёд, желток, сахар, сливки, молоко сгущенное, кофе растворимый, кипяток, сахар ванильный","виски, водка, имбирь молотый, корица, мёд, желток, сахар, сливки, молоко сгущенное, кофе растворимый, кипяток, сахар ванильный",https://img1.russianfood.com/dycontent/images_upl/51/sm_50574.jpg
119,Коктейль Утро (Matinee),"В этом насыщенном, густом коктейле с яичным белком, на фоне остальных ингредиентов выделяется относительно небольшое количество самбуки (40-градусного анисового ликера). Кстати, самбуку в чистом виде традиционно подают, поджигая, с тремя кофейными зернами, которые символизируют здоровье, благополучие и счастье.джин, ликер, сливки, белок, сок лайма","джин, ликер, сливки, белок, сок лайма",https://img1.russianfood.com/dycontent/images_upl/3/sm_2370.jpg
120,Песочный тарт с шоколадом и арбузной начинкой,"Песочный тарт с шоколадом и арбузной начинкой удивит вас своим необычным вкусом и ароматом. Такой десерт удачно совмещает в себе рассыпчатый песочный корж, сладость шоколада и свежесть арбуза. Удивляет не только начинка, но и тесто, в состав которого входят вино и цедра лимона.мука, масло сливочное, сахар, желток, вино десертное, лимон, разрыхлитель, ванилин, арбуз, шоколад, сахар коричневый, крахмал кукурузный","мука, масло сливочное, сахар, желток, вино десертное, лимон, разрыхлитель, ванилин, арбуз, шоколад, сахар коричневый, крахмал кукурузный",https://img1.russianfood.com/dycontent/images_upl/535/sm_534527.jpg
121,Кефир домашний,"Со мной поделились рецептом домашнего кефира. Опробовала - очень вкусный. Делюсь с вами.кефир, молоко","кефир, молоко",https://img1.russianfood.com/dycontent/images_upl/185/sm_184567.jpg
122,Капустный квас с имбирём (без дрожжей),"Очень интересный рецепт домашнего кваса без дрожжей - капустный квас с имбирём. Капустный квас получается с насыщенным, ярким вкусом, слегка напоминающим капустный рассол, а добавление имбиря придаёт напитку лёгкую пикантность. Такой домашний квас из капусты прекрасно освежает - отличный напиток для летней жары!капуста белокочанная, вода, корень имбиря, сахар, соль","капуста белокочанная, вода, корень имбиря, сахар, соль",https://img1.russianfood.com/dycontent/images_upl/524/sm_523441.jpg
123,Молоко из тыквенных семечек с курагой,"Оригинальный рецепт растительного молока в домашних условиях - молоко из тыквенных семечек. Такое вегетарианское молоко - отличная альтернатива молоку животного происхождения. А если добавить в такое нейтральное растительное молоко курагу и мёд - получится отличный питательный коктейль!семечки тыквенные, вода, курага, мёд","семечки тыквенные, вода, курага, мёд",https://img1.russianfood.com/dycontent/images_upl/498/sm_497957.jpg
124,"Фирменный домашний ""коньяк""","Предлагаю Вам сделать дома вот такой домашний ""коньяк"". Напиток очень хорош.водка, гвоздика, сахар, орех мускатный, корица, ваниль, лимонная кислота, кофе растворимый","водка, гвоздика, сахар, орех мускатный, корица, ваниль, лимонная кислота, кофе растворимый",https://img1.russianfood.com/dycontent/images_upl/25/sm_24606.jpg
125,Кабачки-бананы,"Предложим на зиму заготовить кабачки-""бананы"". Рецепт из серии ""Дешево и сердито"" из простых продуктов. Вкус кабачков - банановый, и чудесный компот в придачу.кабачки, алыча, вода, сахар, лимонная кислота","кабачки, алыча, вода, сахар, лимонная кислота",https://img1.russianfood.com/dycontent/images_upl/105/sm_104815.jpg
126,"Блинчики ""Креп Сюзетт""","Все хитрости приготовления французских тонких блинчиков с апельсиновым соусом. Восхитительные французские блинчики на сливках ""Креп Сюзетт"" - нежнейшие, пропитанные апельсиновой свежестью и карамельно-сливочной сладостью. Поистине роскошный завтрак или десерт!сливки, мука пшеничная, яйца, масло сливочное, пудра сахарная, соль, апельсин, сахар, масло сливочное, крахмал, коньяк","сливки, мука пшеничная, яйца, масло сливочное, пудра сахарная, соль, апельсин, сахар, масло сливочное, крахмал, коньяк",https://img1.russianfood.com/dycontent/images_upl/524/sm_523458.jpg
127,Компот из яблок с апельсином и корицей (на зиму),"Этот компот из яблок с апельсином обладает нежным фруктово-цитрусовым ароматом, который дополнен терпковатыми нотками цедры. Такой освежающий яблочный компот с приятной кислинкой подарит вам хорошее настроение холодными зимними днями. Откроешь баночку ароматного яблочно-апельсинового компота - и сразу вспомнишь о лете!)яблоко, апельсин, сахар, корица молотая, вода","яблоко, апельсин, сахар, корица молотая, вода",https://img1.russianfood.com/dycontent/images_upl/533/sm_532302.jpg
128,Арбузный сок (на зиму),"Вкусом арбузов можно наслаждаться не только в сезон, но и зимой. Этот простой рецепт непременно оценят все любители необычных заготовок. Предлагаю заготовить на зиму арбузный сок, чтобы наслаждаться вкусом лета в холодное время года.арбуз, сахар, лимонная кислота","арбуз, сахар, лимонная кислота",https://img1.russianfood.com/dycontent/images_upl/537/sm_536067.jpg
129,"Смузи из консервированного ананаса, банана и апельсина","Фруктовый смузи из консервированного ананаса, банана и апельсина - витаминный напиток, который зарядит вас энергией и порадует экзотическим вкусом. Кусочки ананаса измельчаются в блендере с мякотью банана и свежевыжатым апельсиновым соком. Смузи имеет однородную шелковистую консистенцию, очень приятный аромат и интересный вкус, напоминающий мультифруктовый нектар.ананас консервированный, банан, апельсин, лед","ананас консервированный, банан, апельсин, лед",https://img1.russianfood.com/dycontent/images_upl/586/sm_585503.jpg
130,Медовый кисель с лимоном,"Ароматный, сладкий медовый кисель с лимоном - упрощённая вариация древнего славянского блюда ""сыта"" или ""сита"".  Рецепт киселя очень прост и не требует много времени. Отличный вариант напитка для праздника!вода, мёд, лимон, крахмал, сахар","вода, мёд, лимон, крахмал, сахар",https://img1.russianfood.com/dycontent/images_upl/571/sm_570299.jpg
131,"Коктейль ""Сайдкар""","Сайдкар - один из самых востребованных коктейлей, основанных на коньяке. Я коктейль сайдкар подаю к новогоднему праздничному столу вместо обычного шампанского. Думаю, вы тоже найдете применение этому волшебному напитку;)ликер апельсиновый, коньяк, вино, лимонные дольки, цедра лимона","ликер апельсиновый, коньяк, вино, лимонные дольки, цедра лимона",https://img1.russianfood.com/dycontent/images_upl/44/sm_43179.jpg
132,Имбирный смузи,"Напиток подойдет для завтрака или ужина. Подавляет чувство голода.яблоко, огурцы, корица, мёд, имбирь, кефир","яблоко, огурцы, корица, мёд, имбирь, кефир",https://img1.russianfood.com/dycontent/images_upl/124/sm_123428.jpg
133,Домашняя сангрия из кагора,"Сангрия – это популярный напиток родом из Испании. Коктейль бывает летним (его пьют охлажденным) и зимним (подогретым с добавлением специй). Это простой летний вариант домашней сангрии.кагор, апельсин, лимон, персик, вода","кагор, апельсин, лимон, персик, вода",https://img1.russianfood.com/dycontent/images_upl/77/sm_76326.jpg
134,Чай масала,"Рецепт приготовления индийского напитка -  чая масала. Удивительный и неповторимый чай с молоком и специями внесет изысканную нотку в повседневную жизнь.молоко, вода, сахар, перец чёрный горошком, имбирь, кардамон, корица, чай черный","молоко, вода, сахар, перец чёрный горошком, имбирь, кардамон, корица, чай черный",https://img1.russianfood.com/dycontent/images_upl/165/sm_164758.jpg
135,"Кофейный пирог на сметане, с черникой","Если вы любите пить чай со сладкими пирогами, попробуйте испечь ароматный кофейный пирог с черникой. Готовится пирог очень быстро, из доступных ингредиентов. Кофе и ягоды черники отлично дополняют сладкое воздушное сметанно-масляное тесто на разрыхлителе. А корица добавляет приятный пряный аромат.масло сливочное, сметана, яйца, сахар, мука, разрыхлитель, черника, кофе растворимый, кипяток, корица, соль, пудра сахарная","масло сливочное, сметана, яйца, сахар, мука, разрыхлитель, черника, кофе растворимый, кипяток, корица, соль, пудра сахарная",https://img1.russianfood.com/dycontent/images_upl/527/sm_526105.jpg
136,Узвар с мёдом,"Сладкий ароматный взвар (укр. узвар) из сухофруктов - традиционный рождественский напиток. В отличии от компота приготовление узвара состоит преимущественно в настаивании сухофруктов и лишь кратковременной варке. Такой подход позволяет сохранить насыщенный вкус сушёных яблок, груш, чернослива и изюма, входящих в состав напитка. А мёд усиливает и подчеркивает их естественную сладость.яблоки сушеные, груши сушеные, чернослив, изюм, мёд, вода","яблоки сушеные, груши сушеные, чернослив, изюм, мёд, вода",https://img1.russianfood.com/dycontent/images_upl/570/sm_569875.jpg
137,Смузи овощной (разгрузочная диета),"Пряный овощной смузи из огурцов и молодых кабачков - настоящая витаминная бомба!кабачок, огурец, соль, кориандр, перец красный молотый","кабачок, огурец, соль, кориандр, перец красный молотый",https://img1.russianfood.com/dycontent/images_upl/42/sm_41416.jpg
138,"Арбузный коктейль ""Мохито"" с ромом, базиликом и тимьяном","Самый известный коктейль в мире, любимый напиток Хемингуэя, обязательный атрибут всех кубинских баров — мохито. Привычный тоник или содовую можно заменить арбузным соком, а для аромата и свежей нотки добавить к традиционной мяте веточки свежего тимьяна и базилика. Любителям сочной и спелой арбузной мякоти понравится этот алкогольный коктейль по мотивам классического мохито.арбуз, лайм, ром, сахар коричневый, лед, базилик, тимьян, мята свежая","арбуз, лайм, ром, сахар коричневый, лед, базилик, тимьян, мята свежая",https://img1.russianfood.com/dycontent/images_upl/538/sm_537677.jpg
139,Имбирный кофе с молоком,"Вкусные и полезные напитки можно приготовить в домашних условиях, притом без особых усилий. Имбирный кофе с молоком - бодрящий и очень ароматный напиток, который отлично подойдёт для начала дня.кофе молотый, молоко, вода, имбирь молотый, сахар","кофе молотый, молоко, вода, имбирь молотый, сахар",https://img1.russianfood.com/dycontent/images_upl/593/sm_592533.jpg
140,Морковно-апельсиновый сок (на зиму),"Заготовить морковно-апельсиновый сок на зиму несложно, но для того, чтобы отжать сок из  моркови, понадобится соковыжималка. А затем нужно просто довести апельсиновый и морковный сок до кипения и законсервировать. Сок получается полезным, так как проходит минимальную термическую обработку. Сочетание сока моркови и апельсина очень гармонично по вкусу.морковь, апельсин, сахар, вода","морковь, апельсин, сахар, вода",https://img1.russianfood.com/dycontent/images_upl/539/sm_538198.jpg
141,Кофейный Эг-Ног,"Эг-Ног – шотландский коктейль на основе яиц и молока. Несмотря на то, что эг-ног принято подавать на Рождество, ничто не помешает угоститься этим особым кофейным напитком по случаю любого торжества.яйца, сахар, кофе, кофе молотый, виски шотландский (скотч), Бурбон (Bourbon), сливки, сливки взбитые, орех мускатный","яйца, сахар, кофе, кофе молотый, виски шотландский (скотч), Бурбон (Bourbon), сливки, сливки взбитые, орех мускатный",https://img1.russianfood.com/dycontent/images_upl/2/sm_1506.jpg
142,Домашний йогурт (без йогуртниц и мультиварок),"Очень вкусный домашний йогурт для тех, кто не пользуется йогуртницами и мультиварками (как я :)).молоко, сметана, йогурт, закваска, наполнитель","молоко, сметана, йогурт, закваска, наполнитель",https://img1.russianfood.com/dycontent/images_upl/249/sm_248731.jpg
143,Кофе по-льежски,"Так традиционно готовят кофе в бельгийском городе Льеж. Божественно вкусный напиток.кофе эспрессо, сливки, пудра сахарная, напиток, ликер, какао-порошок","кофе эспрессо, сливки, пудра сахарная, напиток, ликер, какао-порошок",https://img1.russianfood.com/dycontent/images_upl/89/sm_88448.jpg
144,Земляничный чай для сердца,"Прихватило сердце у Кузьмича, да так сильно, что мочи не было, пошел к знахарке, та и сказала ему рецепт действенного чая... 
Земляничный чай необходим для поддержания здоровья Вашего сердца.земляника, вода, мёд","земляника, вода, мёд",https://img1.russianfood.com/dycontent/images_upl/4/sm_3447.jpg
