,Навание блюда,Состав,Ингредиенты,Картинка
56,"Суфле из куриного филе с кабачком, морковью и укропом","Рецепт диетического куриного суфле для любителей правильного питания. Суфле получается очень нежным и воздушным. Вкрапления моркови и укропа придают суфле яркий внешний вид, а кабачок добавляет сочность.куриное филе, кабачки, морковь, яйца, зелень укропа, чеснок, масло растительное, соль, перец чёрный молотый","куриное филе, кабачки, морковь, яйца, зелень укропа, чеснок, масло растительное, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/597/sm_596548.jpg
57,Вареники с брокколи и сыром фета,"Если вы любите вареники, то как насчёт того, чтобы попробовать что-то необычное? Приготовим вареники из теста на сметане и яичных желтках, с начинкой из брокколи с сыром фета. Почти пюреобразная начинка придётся по вкусу поклонникам зелёной брокколи и солоноватой феты. Привычный процесс лепки и варки не удивит чем-то новым, вот вкус — наверняка.мука, желток, сметана, вода, соль, капуста брокколи, сыр фета, чеснок, соль, перец чёрный молотый, масло сливочное, лук репчатый","мука, желток, сметана, вода, соль, капуста брокколи, сыр фета, чеснок, соль, перец чёрный молотый, масло сливочное, лук репчатый",https://img1.russianfood.com/dycontent/images_upl/530/sm_529028.jpg
58,Рис с малосольными огурцами и зеленью,"Питательное блюдо для летнего меню - рис с малосольными огурцами и зеленью. Отваренный рис, малосольные огурчики, зелёный лук и укроп прекрасно сочетаются между собой. Получается лёгкий и оригинальный вегетарианский салат со сбалансированным вкусом.рис длиннозерный, огурцы малосольные, лук зелёный, зелень укропа, масло растительное, сок лимона, соль, перец чёрный молотый","рис длиннозерный, огурцы малосольные, лук зелёный, зелень укропа, масло растительное, сок лимона, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/521/sm_520255.jpg
59,"Творожная запеканка с помидорами, яйцами и сыром","Вкусная и нежная несладкая запеканка для любителей блюд из творога. Творожно-сырно-яичная часть запеканки прекрасно сочетается c помидорами и чесноком. Разница структур двух слоёв играет ещё и разными вкусами: нежный, сливочный и слегка кислый помидорно-чесночный приятно удивят ваши вкусовые рецепторы.)помидоры, сыр пармезан, яйца, сыр фета, творог, сметана, чеснок, масло оливковое, соль, масло сливочное, базилик","помидоры, сыр пармезан, яйца, сыр фета, творог, сметана, чеснок, масло оливковое, соль, масло сливочное, базилик",https://img1.russianfood.com/dycontent/images_upl/526/sm_525971.jpg
60,"Картофельные зразы на манке, с сыром","Картофельные зразы наполняют разной начинкой. На этот раз приготовим их с сыром — плавким, нежным и тягучим. Просто заворачиваем сырную начинку в картофельное тесто с добавлением манной крупы. А после дело остаётся за малым — обжарить на сковороде до румяности уже готовые по сути продукты. Просто? — Да. Вкусно? — Ещё бы!картофель, сыр твёрдый, крупа манная, яйца, мука, масло сливочное, масло растительное, травы пряные, соль, перец чёрный молотый","картофель, сыр твёрдый, крупа манная, яйца, мука, масло сливочное, масло растительное, травы пряные, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/534/sm_533835.jpg
61,Слоёные пирожки с куриной печенью и яйцом (в духовке),"Сегодня я вам предлагаю приготовить вкусные и сытные слоёные пирожки с куриной печенью, яйцом и зеленью. Тесто используем магазинное, но начинку приготовим самостоятельно, причем, не поскупимся — сделаем ""щедрые"" пирожки. Куриная печень прекрасно подойдёт для начинки пирожков, она гармонирует с яйцами и зеленью. Такие пирожки можно взять с собой на перекус или подать в качестве завтрака, с чашечкой чая будет очень вкусно!)тесто слоеное, масло растительное, мука, печень куриная, лук репчатый, морковь, зелень петрушки, лук зелёный, соль, перец чёрный молотый, масло растительное, яйца, желток","тесто слоеное, масло растительное, мука, печень куриная, лук репчатый, морковь, зелень петрушки, лук зелёный, соль, перец чёрный молотый, масло растительное, яйца, желток",https://img1.russianfood.com/dycontent/images_upl/532/sm_531700.jpg
62,Хот-дог с сосиской в беконе и жареным луком,"Как сделать любимые всеми хот-доги ещё вкуснее? Заверните сосиски в полоски бекона и запеките до хрустящей корочки, а сверху добавьте золотистый жареный лук.сосиски, булочка, бекон, лук репчатый, кетчуп, горчица, масло растительное, соль","сосиски, булочка, бекон, лук репчатый, кетчуп, горчица, масло растительное, соль",https://img1.russianfood.com/dycontent/images_upl/583/sm_582666.jpg
63,Тушёная капуста с яйцами (на сковороде),"Простая и вкусная еда - тушёная капуста с яйцами. Добавление яичной смеси в сочную тушёную капусту с морковью и луком обеспечивает сытность. Прекрасный гарнир или вполне самостоятельное овощное блюдо.капуста белокочанная, лук репчатый, морковь, яйца, крупа манная, соль, перец чёрный молотый, масло растительное","капуста белокочанная, лук репчатый, морковь, яйца, крупа манная, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/506/sm_505341.jpg
64,Оладьи из тыквы с картофелем и сыром,"Несладкие тыквенные оладьи понравятся даже тем, кто тыкву не особо любит. Картофель, сыр, чеснок и зелень ловко маскируют её вкус и мастерски сглаживают характерную сладость. Оладьи получаются мягенькими, несмотря на красивую поджаристую корочку, и разлетаются в секунду!тыква, картофель, сыр твёрдый, яйца, зелень петрушки, чеснок, мука, хмели-сунели, соль, перец чёрный молотый, масло подсолнечное","тыква, картофель, сыр твёрдый, яйца, зелень петрушки, чеснок, мука, хмели-сунели, соль, перец чёрный молотый, масло подсолнечное",https://img1.russianfood.com/dycontent/images_upl/555/sm_554053.jpg
65,Гречневая каша с капустой,"Гречневая каша с капустой – хорошее постное блюдо или гарнир для повседневного меню. Каша с капустой получается интереснее и сочнее. А главное - полезное и вкусное блюдо не требует много времени и усилий на приготовление.крупа гречневая, капуста белокочанная, соль, масло растительное, соус соевый","крупа гречневая, капуста белокочанная, соль, масло растительное, соус соевый",https://img1.russianfood.com/dycontent/images_upl/509/sm_508980.jpg
66,"""Жареные"" макароны с творогом","Отличный способ приготовить макароны так, что даже без мяса и других продуктов будет очень сытно. Понадобится лишь немного творога, а самое главное - это предварительное обжаривание макарон в сливочном масле. ""Жареные"" макароны с творогом получаются яркими по вкусу, с ароматом сливок и орехов. Минимум продуктов, а получается очень вкусно - попробуйте!вермишель, творог, соль, перец чёрный молотый, масло сливочное","вермишель, творог, соль, перец чёрный молотый, масло сливочное",https://img1.russianfood.com/dycontent/images_upl/512/sm_511154.jpg
67,Мясная запеканка с брокколи и зелёным горошком,"Сытная, вкусная и очень яркая мясная запеканка с овощами. Фарш перемешаем со специями, дополним зелёным горошком и брокколи. Запекание в духовке максимально упростит процесс доведения блюда до готовности. Запеканку можно подать к столу в тёплом и холодном виде в качестве мясной закуски или как основное блюдо к обеду и ужину.фарш мясной, капуста брокколи, горошек зелёный консервированный, сухари панировочные, яйца, карри, соль, перец чёрный молотый","фарш мясной, капуста брокколи, горошек зелёный консервированный, сухари панировочные, яйца, карри, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/571/sm_570313.jpg
68,Закусочные печёночные маффины с овощами и отрубями,"Закусочные печёночные маффины с овощами и отрубями можно подать в качестве основного мясного блюда или закуски к домашнему обеду или ужину. Сначала обжарим овощи и соединим с измельчённой печенью, отрубями и специями, а затем запечём в духовке в порционных формочках. Простой рецепт сытного блюда.печень куриная, морковь, лук репчатый, яйца, отруби, зелень петрушки, соль, перец чёрный молотый, масло растительное","печень куриная, морковь, лук репчатый, яйца, отруби, зелень петрушки, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/572/sm_571941.jpg
69,"Клёцки из тыквы, жаренные в сливочном масле","Из тыквы можно приготовить очень много интересных блюд. Например, вот такие яркие и вкусные клецки с оригинальным сладковатым вкусом. После отваривания клёцки обжариваются в сливочном масле с прованскими травами и получаются очень ароматными, с аппетитной румяной корочкой. Хороши такие клёцки из тыквы и как самостоятельное блюдо, и в роли гарнира.тыква, яйца, мука, сыр твёрдый, орех мускатный, соль, перец чёрный молотый, масло растительное, масло сливочное, травы пряные","тыква, яйца, мука, сыр твёрдый, орех мускатный, соль, перец чёрный молотый, масло растительное, масло сливочное, травы пряные",https://img1.russianfood.com/dycontent/images_upl/566/sm_565055.jpg
70,Сладкая рисовая запеканка с тыквой,"Тыква — полезный овощ, которому в осенне-зимний сезон самое место в вашем рационе. Сегодня остановим свой выбор на сладкой тыквенно-рисовой запеканке. Рис отваривается на молоке, соединяется с яйцами, сливочным маслом, сметаной и тёртой тыквой. По вкусу запеканка очень напоминает всем известную тыквенную кашу с рисом, но она плотная и прекрасно нарезается на порционные кусочки.тыква, рис, молоко, яйца, масло сливочное, сметана, сахар, соль","тыква, рис, молоко, яйца, масло сливочное, сметана, сахар, соль",https://img1.russianfood.com/dycontent/images_upl/544/sm_543670.jpg
71,"Закусочные маффины из вермишели, с ветчиной и сыром","Хочется предложить вам рецепт вкуснейших закусочных маффинов из вермишели, с ветчиной и сыром. Если осталась вермишель после ужина, то это один из самых удачных вариантов, как вы можете её использовать. Чередуем макаронно-мясную массу с разными сырами, заливаем яично-сливочной смесью и запекаем в формочках для маффинов (кексиков). Сочетание продуктов привычно и любимо многими, а форма исполнения не совсем обычна, но удобна для дома и поездок.вермишель, ветчина, сыр твёрдый, сливки, яйца, сыр, мука, масло оливковое, масло сливочное, лук зелёный, соль, перец чёрный молотый, паприка молотая","вермишель, ветчина, сыр твёрдый, сливки, яйца, сыр, мука, масло оливковое, масло сливочное, лук зелёный, соль, перец чёрный молотый, паприка молотая",https://img1.russianfood.com/dycontent/images_upl/506/sm_505851.jpg
72,Фриттата со шпинатом и вялеными помидорами,"Набор продуктов для этого сытного омлета очень простой: шпинат, яйца, сыр, вяленые помидоры, лук и чили.шпинат, яйца, сыр твёрдый, помидоры вяленые, масло оливковое, лук красный, перец чили, листья, перец чёрный молотый","шпинат, яйца, сыр твёрдый, помидоры вяленые, масло оливковое, лук красный, перец чили, листья, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/44/sm_43863.jpg
73,Пшённая каша с тыквой (в духовке),"Пшённая каша с тыквой — простое и питательное блюдо, которое когда-то томили в глиняных горшках в печи. А что если попробовать приготовить такую же вкусную кашу с тыквой в современных условиях, воспользовавшись духовкой? Каша томится в духовке и получается очень нежной и ароматной. А ещё такая ""солнечная"" каша практически не требует внимания  — её не нужно перемешивать во время приготовления.пшено, тыква, молоко, сахар, соль, масло сливочное","пшено, тыква, молоко, сахар, соль, масло сливочное",https://img1.russianfood.com/dycontent/images_upl/545/sm_544775.jpg
74,Икра из баклажанов с грибами и помидорами,"Икра ""заморская"", баклажанная, в этом рецепте органично сочетается с грибами и томатами. Процесс приготовления несложен: тушим-обжариваем ингредиенты и пюрируем до желаемой консистенции. Прекрасная вкусная закуска, она хороша к любому столу и в любом виде — тёплом и холодном, самостоятельно или как дополнение к основным блюдам. Новая классика в этом рецепте, для вас!баклажан, шампиньоны, помидоры, морковь, лук репчатый, чеснок, масло растительное, соль, перец чёрный молотый, сахар, зелень","баклажан, шампиньоны, помидоры, морковь, лук репчатый, чеснок, масло растительное, соль, перец чёрный молотый, сахар, зелень",https://img1.russianfood.com/dycontent/images_upl/532/sm_531183.jpg
75,"Салат из свёклы, моркови, капусты и брынзы","Вкусный и лёгкий овощной салат с брынзой. Готовится такой яркий и аппетитный салат из свежей свеклы, моркови и капусты очень просто, а добавление брынзы обеспечивает привычному сочетанию овощей совершенно новый, оригинальный вкус.капуста белокочанная, свекла, морковь, брынза, соль, перец чёрный молотый, масло растительное","капуста белокочанная, свекла, морковь, брынза, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/490/sm_489985.jpg
76,Запеканка из куриной печени с помидором и яблоком,"Запеканка по этому рецепту готовится из куриной печени, обжаренной с помидорами и яблоком, и яичной заливки. Блюдо получается очень нежным и довольно сытным – любителям куриной печени обязательно понравится.печень куриная, помидоры, яблоко, яйца, масло растительное, соль, перец чёрный молотый, зелень, вода","печень куриная, помидоры, яблоко, яйца, масло растительное, соль, перец чёрный молотый, зелень, вода",https://img1.russianfood.com/dycontent/images_upl/421/sm_420972.jpg
77,Вареники с вишней и творогом,"Чаще готовят вареники либо с творогом, либо только с вишней. В этот раз совместим два этих отличных варианта. Яркость вкуса вишни смягчится нежным творогом в начинке. Процесс приготовления вполне привычный, а вкус вареников с творогом и вишней будет и новым, и знакомым одновременно. Это интересно и вкусно!мука, вода, соль, вишня, творог, желток, сахар","мука, вода, соль, вишня, творог, желток, сахар",https://img1.russianfood.com/dycontent/images_upl/519/sm_518218.jpg
78,Фаршированный картофель,"Запеченный картофель, фаршированный курицей и перцем, можно подать на праздничный стол или на обед, ужин. Очень вкусно, полезно, необычно и красиво.картофель, куриная грудка, лук репчатый, перец болгарский красный, сыр твёрдый, зелень петрушки, чеснок, масло сливочное, масло растительное, соль, перец чёрный молотый","картофель, куриная грудка, лук репчатый, перец болгарский красный, сыр твёрдый, зелень петрушки, чеснок, масло сливочное, масло растительное, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/224/sm_223773.jpg
79,Фриттата с цуккини и спаржей,"Итальянский омлет ""фриттата"" всегда выгодно смотрится на столе.спаржа, перец болгарский желтый, лук репчатый, цуккини, яйца, сливки, молоко, петрушка, соль, перец чёрный молотый, сыр твёрдый","спаржа, перец болгарский желтый, лук репчатый, цуккини, яйца, сливки, молоко, петрушка, соль, перец чёрный молотый, сыр твёрдый",https://img1.russianfood.com/dycontent/images_upl/45/sm_44125.jpg
80,"Картошка, жаренная с куриным филе в пергаменте","Рецепт ""два в одном"" - куриная грудка, приготовленная вместе с картошкой в пергаменте на сковороде. Куриное филе получается нежным, сочным, совершенно не сухим. А натёртый картофель с пряностями аппетитно прижаривается. И всё это - при минимальном использовании масла!картофель, куриное филе, куркума молотая, паприка молотая, соль, перец чёрный молотый, масло растительное","картофель, куриное филе, куркума молотая, паприка молотая, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/588/sm_587540.jpg
81,"Запеканка из вареников с капустой, в кефирно-яичной заливке","Готовые замороженные вареники можно не только отварить, но и взять за основу для приготовления необычной запеканки. Запеканка из вареников в кефирно-яичной заливке хоть и относится к ""ленивым"" блюдам, но получается очень вкусной!кефир, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное, крупа манная","кефир, сыр твёрдый, яйца, соль, перец чёрный молотый, масло растительное, крупа манная",https://img1.russianfood.com/dycontent/images_upl/396/sm_395314.jpg
82,"Ватрушки с начинкой из творога, брынзы и зелени","Оригинальные ватрушки с начинкой из творога, брынзы и зелени – душевная домашняя несладкая выпечка. Благодаря необычной формовке посредством плетения края ватрушки выглядят красиво и напоминают солнышки. Дрожжевое тесто очень приятное в работе, в готовом виде изделия получаются мягенькими, прямо-таки воздушными!мука, дрожжи сухие, соль, сахар, молоко, яйца, масло растительное, творог, брынза, зелень, соль, белок, желток","мука, дрожжи сухие, соль, сахар, молоко, яйца, масло растительное, творог, брынза, зелень, соль, белок, желток",https://img1.russianfood.com/dycontent/images_upl/415/sm_414452.jpg
83,"Рулетики из пекинской капусты, с творогом и огурцом","Несложная и очень вкусная закуска из минимума продуктов - хрустящие рулетики из пекинской капусты, с начинкой из творога, огурцов и зелени. Свежие хрустящие листья капусты, творог, зелень и мелко нарезанный свежий огурчик - сочетание простое и гармоничное. Закуска не калорийная, поэтому можно смело есть её не только на завтрак или обед, но и на ужин.капуста пекинская, творог, огурцы, зелень укропа, соль, перец чёрный молотый","капуста пекинская, творог, огурцы, зелень укропа, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/412/sm_411818.jpg
84,Морковное суфле,"Нежное морковное суфле покорит любителей этого корнеплода.морковь, яйца, сахар коричневый, молоко, корица молотая, сливки взбитые","морковь, яйца, сахар коричневый, молоко, корица молотая, сливки взбитые",https://img1.russianfood.com/dycontent/images_upl/45/sm_44528.jpg
85,"Кукурузная каша, запечённая с сыром и вялеными томатами","Кукурузная каша — вторая каша в мире по распространенности после риса. У нас её готовят не так часто, хотя итальянская полента, например, известна во всём мире. Предлагаю приготовить поленту с сыром и вялеными томатами в виде запеканки. Такое блюдо очень вкусное не только сразу из духовки, но и на следующий день в холодном виде.крупа кукурузная, помидоры вяленые, чеснок, масло сливочное, сыр твёрдый, зелень петрушки, соль, перец чёрный молотый","крупа кукурузная, помидоры вяленые, чеснок, масло сливочное, сыр твёрдый, зелень петрушки, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/551/sm_550290.jpg
86,Печенье с орехами и джемом,"Нежное рассыпчатое печенье с орехами и джемом выглядит очень привлекательно и замечательно на вкус. Такое печенье можно приготовить для праздничного стола.масло сливочное, мука, орех грецкий, джем клюквенный, сахар, яйца, сахар ванильный, соль","масло сливочное, мука, орех грецкий, джем клюквенный, сахар, яйца, сахар ванильный, соль",https://img1.russianfood.com/dycontent/images_upl/213/sm_212338.jpg
87,Лепёшки с сыром сулугуни (на сковороде),"Приготовьте лепёшки из дрожжевого теста, с сыром сулугуни, к завтраку, обеду или ужину. Времени для их приготовления потребуется всего полчаса, а удовольствие от аппетитных лепёшек с золотистой корочкой и нежной начинкой из сыра сулугуни гарантировано.тесто дрожжевое, сыр сулугуни, масло растительное, мука","тесто дрожжевое, сыр сулугуни, масло растительное, мука",https://img1.russianfood.com/dycontent/images_upl/296/sm_295357.jpg
88,"Молодой картофель, запечённый с беконом и яйцами","Молодой картофель, запечённый с копчёным беконом и яйцами, –  простое в приготовлении, сытное и вкусное блюдо, которое придётся по вкусу всей семье. Отличный вариант обеда, ужина или питательного позднего завтрака. Попробуйте!картофель молодой, яйца, бекон, масло оливковое, перец чёрный молотый, соль, зелень укропа","картофель молодой, яйца, бекон, масло оливковое, перец чёрный молотый, соль, зелень укропа",https://img1.russianfood.com/dycontent/images_upl/328/sm_327902.jpg
89,Сырное суфле,"В традиционное суфле из яиц добавляю два вида сыра и запекаю в духовке. Шикарное блюдо для всей семьи.желток, белок, сыр камамбер, сыр пармезан, стебель сельдерея, лук зелёный, чеснок, масло сливочное, мука, порошок горчичный, соль, перец чёрный молотый, молоко...","желток, белок, сыр камамбер, сыр пармезан, стебель сельдерея, лук зелёный, чеснок, масло сливочное, мука, порошок горчичный, соль, перец чёрный молотый, молоко...",https://img1.russianfood.com/dycontent/images_upl/45/sm_44389.jpg
90,Быстрый хот-дог,"Сытная и быстрая замена обеду. Горячая булка с сосисками, корейской морковкой и сыром съедается моментально.булочка, сосиски, сыр, морковка корейская, майонез, кетчуп","булочка, сосиски, сыр, морковка корейская, майонез, кетчуп",https://img1.russianfood.com/dycontent/images_upl/125/sm_124662.jpg
91,Зразы из гречневой каши с варёным яйцом и зелёным луком,"Великолепная альтернатива гречневой каше на завтрак или применение уже приготовленной гречки - необычные зразы с начинкой из варёного яйца и зелёного лука. Готовятся они, конечно, немного дольше привычной гречневой каши, зато результат стоит затраченных усилий на все сто.крупа гречневая, яйца, лук зелёный, мука, сметана, соль, перец чёрный молотый, масло растительное","крупа гречневая, яйца, лук зелёный, мука, сметана, соль, перец чёрный молотый, масло растительное",https://img1.russianfood.com/dycontent/images_upl/356/sm_355410.jpg
92,Кабачково-творожная запеканка,"Кабачково-творожная запеканка - очень простое в приготовлении блюдо. Натёрли кабачки, смешали с творогом, яйцами и зеленью, выложили в форму и поставили в духовку. И через некоторое время можно приглашать всех к столу - вкусная, нежная и ароматная запеканка готова!кабачки, творог, яйца, чеснок, зелень укропа, соль, перец чёрный молотый, масло растительное, базилик","кабачки, творог, яйца, чеснок, зелень укропа, соль, перец чёрный молотый, масло растительное, базилик",https://img1.russianfood.com/dycontent/images_upl/430/sm_429434.jpg
93,Хацилим (закуска из баклажанов),"Популярная ближневосточная закуска из печеных баклажанов с пряностями и майонезом - хацилим. Если вы еще не пробовали этот кулинарный шедевр, сейчас самое время его приготовить, тем более, что сделать это очень просто. Уверены, что хацилим займет достойное место в числе любимых закусок.баклажан, майонез, чеснок, сок лимона, масло оливковое, сахар, соль, перец чёрный молотый","баклажан, майонез, чеснок, сок лимона, масло оливковое, сахар, соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/350/sm_349766.jpg
94,"Капустные оладьи, тушенные в томатном соусе","Бюджетное блюдо из привычных продуктов - сочные капустные оладьи, тушенные в томатном соусе. Такие сытные овощные оладушки - отличный гарнир к мясу или рыбе, но и как самостоятельное блюдо тоже очень хороши.капуста белокочанная, лук репчатый, крупа манная, мука пшеничная, яйца, соль, перец чёрный молотый, масло растительное, томат-паста, масло растительное, чеснок, сахар...","капуста белокочанная, лук репчатый, крупа манная, мука пшеничная, яйца, соль, перец чёрный молотый, масло растительное, томат-паста, масло растительное, чеснок, сахар...",https://img1.russianfood.com/dycontent/images_upl/386/sm_385493.jpg
95,"Картофельные котлеты с крабовыми палочками, морковью и сыром","Необычные картофельные котлетки с крабовыми палочками, морковью и сыром просто готовятся и очень оригинально выглядят в разрезе. Добавление крабовых палочек и сыра делает сытные овощные котлеты ещё вкуснее и интереснее. Это стоит попробовать!картофель, крабовые палочки, морковь, сыр твёрдый, яйца, соль, перец чёрный молотый, мука, масло растительное","картофель, крабовые палочки, морковь, сыр твёрдый, яйца, соль, перец чёрный молотый, мука, масло растительное",https://img1.russianfood.com/dycontent/images_upl/374/sm_373590.jpg
96,Бургеры с тушеным мясом,"Для таких бургеров хорошо приобрести мини-булочки. А для начинки используется тушеное в мультиварке (медленноварке) мясо с овощами. Мини-бургеры отлично подойдут для вечеринки.свинина, булочка, кетчуп, лук репчатый, перец  болгарский зелёный, тимьян (чабрец, богородская трава), розмарин, бульон куриный, уксус бальзамический...","свинина, булочка, кетчуп, лук репчатый, перец  болгарский зелёный, тимьян (чабрец, богородская трава), розмарин, бульон куриный, уксус бальзамический...",https://img1.russianfood.com/dycontent/images_upl/45/sm_44346.jpg
97,Кабачковые оладьи с соусом дзадзики (цацики),"Греческая кухня известна по всему миру. Свежие кабачки, брынза, мята и укроп - и на вашем столе появятся нежные оладьи с особенным вкусом. И не забудьте приготовить к таким кабачковым оладьям знаменитый греческий соус дзадзики (цацики) из натурального йогурта, свежих огурцов, укропа, чеснока и оливкового масла. На завтрак или ужин, дома или на даче.кабачки, брынза, мука пшеничная, яйца, лук репчатый, зелень укропа, мята свежая, масло растительное, соль, огурцы свежие, йогурт натуральный, чеснок, зелень укропа...","кабачки, брынза, мука пшеничная, яйца, лук репчатый, зелень укропа, мята свежая, масло растительное, соль, огурцы свежие, йогурт натуральный, чеснок, зелень укропа...",https://img1.russianfood.com/dycontent/images_upl/330/sm_329607.jpg
98,"Бризоли с вафельными коржами, сладким перцем и зеленью","По внешнему виду и вкусу эти бризоли напоминают беляши, только вместо теста используются тонкие, ломкие вафельные коржи — удобный для всевозможных закусок и пирожных покупной полуфабрикат. Бризоли с вафельными коржами, сладким перцем и зеленью - замечательное блюдо для завтрака.вафли, фарш куриный, перец сладкий, лук репчатый, зелень петрушки, яйца, молоко, мука, масло растительное, соль, перец молотый","вафли, фарш куриный, перец сладкий, лук репчатый, зелень петрушки, яйца, молоко, мука, масло растительное, соль, перец молотый",https://img1.russianfood.com/dycontent/images_upl/346/sm_345278.jpg
99,Кукурузная каша с плавленым сыром и варёными яйцами,"Простое, быстрое и сытное блюдо из доступных продуктов - несладкая кукурузная каша с плавленым сыром и кусочками варёных яиц. Благодаря добавлению плавленого сыра кукурузная каша получается очень нежной и ароматной.крупа кукурузная, масло сливочное, сыр плавленый, яйца, карри, тимьян (чабрец, богородская трава), соль, перец чёрный молотый","крупа кукурузная, масло сливочное, сыр плавленый, яйца, карри, тимьян (чабрец, богородская трава), соль, перец чёрный молотый",https://img1.russianfood.com/dycontent/images_upl/348/sm_347679.jpg
100,"Пышный омлет-пирог со сметаной, в духовке","Как из простейшего набора продуктов приготовить необычное блюдо? Легко! Вооружившись этим рецептом, вы приготовите красивый и вкусный омлет, похожий на воздушный яичный пирог. Омлет в духовке получается очень пышным, с нежным вкусом и ароматом.яйца, молоко, сметана, мука пшеничная, соль, перец чёрный молотый, масло сливочное, помидоры, огурцы свежие","яйца, молоко, сметана, мука пшеничная, соль, перец чёрный молотый, масло сливочное, помидоры, огурцы свежие",https://img1.russianfood.com/dycontent/images_upl/355/sm_354778.jpg
